"Agency","Award Date","Vendor","Contract","Contract-ID","Subject","Current Contract Value","Status","Completion Date","Procurement Method","Category","NGIP Codes and Categories","Vendor ID"
"Department of Public Safety","2004-04-01","PARKER COUNTY","405-12-20534","<a href='https://cms.lbb.texas.gov/Default.aspx?aid=405&cid=405-12-20534' target='_blank'>405-12-20534</a>","Weatherford Building Lease 10647","$129,600","Active","03/31/2031","Competitive","Goods","971-45 Rental or Lease","""17560011094001"""
"Department of Public Safety","2004-04-12","DATAMAXX APPLIED TECHNOLOGIES, INC.","405-15-P001977","<a href='https://cms.lbb.texas.gov/Default.aspx?aid=405&cid=405-15-P001977' target='_blank'>405-15-P001977</a>","Datamaxx","$13,072,639","Completed","03/19/2019","Competitive","Information","920-45 Information Technology","""15930816788*00"""
"Department of Public Safety","2004-07-01","TARANTINO PROPERTIES INC","405-12-20538","<a href='https://cms.lbb.texas.gov/Default.aspx?aid=405&cid=405-12-20538' target='_blank'>405-12-20538</a>","Building Lease - Pasadena 20003","$529,907","Completed","06/30/2019","Competitive","Goods","971-45 Rental or Lease","""17421287735003"""
"Department of Public Safety","2004-07-01","TOTAL ENERGY INVESTMENTS LLC","405-13-31801","<a href='https://cms.lbb.texas.gov/Default.aspx?aid=405&cid=405-13-31801' target='_blank'>405-13-31801</a>","Building Lease - Pearland 20038","$1,214,695","Active","07/31/2027","Competitive","Goods","971-45 Rental or Lease","""14615121515000"""
"Department of Public Safety","2004-10-01","BLUMIN-HIGHPOINT LTD","405-12-20544","<a href='https://cms.lbb.texas.gov/Default.aspx?aid=405&cid=405-12-20544' target='_blank'>405-12-20544</a>","Building Lease - Dallas","$830,811","Completed","05/31/2017","Competitive","Goods","971-45 Rental or Lease","""11418463565000"""
"Department of Public Safety","2005-02-01","EAST VANTAGE PARKWAY LLC","405-13-30360","<a href='https://cms.lbb.texas.gov/Default.aspx?aid=405&cid=405-13-30360' target='_blank'>405-13-30360</a>","Building Lease - Houston 20113","$649,950","Completed","02/29/2016","Competitive","Goods","971-45 Rental or Lease","""19008617003000"""
"Department of Public Safety","2005-02-15","830-850 CENTRAL PARKWAY LTD","405-12-20540","<a href='https://cms.lbb.texas.gov/Default.aspx?aid=405&cid=405-12-20540' target='_blank'>405-12-20540</a>","Building Lease - Plano 20018","$850,288","Active","01/31/2030","Competitive","Goods","971-45 Rental or Lease","""12057082849000"""
"Department of Public Safety","2005-03-01","8800 BROADWAY PLAZA LLC","405-12-20545","<a href='https://cms.lbb.texas.gov/Default.aspx?aid=405&cid=405-12-20545' target='_blank'>405-12-20545</a>","Building Lease - San Antonio 20105","$273,812","Completed","02/28/2018","Competitive","Goods","971-45 Rental or Lease","""14623786275000"""
"Department of Public Safety","2005-08-22","MORPHOTRUST","405-15-P001765","<a href='https://cms.lbb.texas.gov/Default.aspx?aid=405&cid=405-15-P001765' target='_blank'>405-15-P001765</a>","Fingerprint Submissions","$18,087,284","Completed","08/31/2015","Competitive","Information","920-4  Information Technology","""10433205159003"""
"Department of Public Safety","2005-10-13","IDEMIA IDENTITY & SECURITY USA LLC","405-C6-1001","<a href='https://cms.lbb.texas.gov/Default.aspx?aid=405&cid=405-C6-1001' target='_blank'>405-C6-1001</a>","Card Production","$65,666,472","Completed","08/31/2025","Competitive","Goods","80 -10 Goods","""10433205159008"""
"Department of Public Safety","2006-10-25","ZOYA ENTERPRISES LTD","405-12-20547","<a href='https://cms.lbb.texas.gov/Default.aspx?aid=405&cid=405-12-20547' target='_blank'>405-12-20547</a>","Building Lease - Houston 20127","$891,386","Completed","05/31/2018","Competitive","Goods","971-45 Rental or Lease","""17606585341001"""
"Department of Public Safety","2006-11-13","ZOYA ENTERPRISES LTD","405-12-20536","<a href='https://cms.lbb.texas.gov/Default.aspx?aid=405&cid=405-12-20536' target='_blank'>405-12-20536</a>","Building Lease - Alvin 10846","$601,533","Completed","11/06/2017","Competitive","Goods","971-45 Rental or Lease","""17606585341001"""
"Department of Public Safety","2007-03-21","HUGHES NETWORK SYSTEMS LLC","405-C7-9013","<a href='https://cms.lbb.texas.gov/Default.aspx?aid=405&cid=405-C7-9013' target='_blank'>405-C7-9013</a>","Satellite Communication Services","$10,663,090","Completed","08/23/2017","Competitive","Goods","726-51 Goods","""15211065642000"""
"Department of Public Safety","2007-04-01","ABILENE TX I SGF LLC","405-12-20537","<a href='https://cms.lbb.texas.gov/Default.aspx?aid=405&cid=405-12-20537' target='_blank'>405-12-20537</a>","Abilene Building Lease 11362","$538,051","Completed","01/31/2022","Competitive","Goods","971-45 Rental or Lease","""18340440058000"""
"Department of Public Safety","2008-01-01","GRIBBLE GATEWAY LLC","405-12-20548","<a href='https://cms.lbb.texas.gov/Default.aspx?aid=405&cid=405-12-20548' target='_blank'>405-12-20548</a>","Building Lease - Universal City 20148","$3,975,907","Active","12/31/2030","Competitive","Goods","971-45 Rental or Lease","""12714584773000"""
"Department of Public Safety","2008-02-01","PACIFICA LA COSTA GREEN LP","405-12-20549","<a href='https://cms.lbb.texas.gov/Default.aspx?aid=405&cid=405-12-20549' target='_blank'>405-12-20549</a>","Building Lease - Austin 20169","$5,468,704","Completed","11/30/2019","Competitive","Goods","971-45 Rental or Lease","""12031475242001"""
"Department of Public Safety","2008-04-02","TEXAS FACILITIES COMMISSION","405-00-804","<a href='https://cms.lbb.texas.gov/Default.aspx?aid=405&cid=405-00-804' target='_blank'>405-00-804</a>","Interagency Contract Crime Lab Expansions","$201,065,466","Completed","08/31/2023","Non-Comp, Interagency","Management","958-77 Management Services","""33033033037002"""
"Department of Public Safety","2008-05-20","NEGRETE & KOLAR ARCHITECTS","405-15-P001872","<a href='https://cms.lbb.texas.gov/Default.aspx?aid=405&cid=405-15-P001872' target='_blank'>405-15-P001872</a>","Reference TFC Contract to Negrete-Kolar","$634,517","Completed","12/31/2016","Competitive","Consulting","907-75 Consulting Services","""17418353854000"""
"Department of Public Safety","2008-06-01","KATHERINE PARKER","Hl-01011","<a href='https://cms.lbb.texas.gov/Default.aspx?aid=405&cid=Hl-01011' target='_blank'>Hl-01011</a>","Hangar Lease for Alpine Texas","$73,500","Completed","07/31/2016","Non-Comp, Non-Emergency","Goods","971-26 Rental or Lease","""ue-00000001118"""
"Department of Public Safety","2008-07-01","Landmark Aviation","405-12-21093","<a href='https://cms.lbb.texas.gov/Default.aspx?aid=405&cid=405-12-21093' target='_blank'>405-12-21093</a>","Midland Hangar Lease","$137,674","Completed","01/31/2020","Competitive","Goods","971-26 Rental or Lease","""ue-00000005087"""
"Department of Public Safety","2008-08-01","CITY OF EDINBURG","405-15-P000768","<a href='https://cms.lbb.texas.gov/Default.aspx?aid=405&cid=405-15-P000768' target='_blank'>405-15-P000768</a>","Hangar lease - Edinburg","$502,000","Completed","11/30/2025","Competitive","Goods","971-26 Rental or Lease","""17460007143000"""
"Department of Public Safety","2008-11-01","RANDALL COUNTY SHERIFFS OFFICE","405-12-21094","<a href='https://cms.lbb.texas.gov/Default.aspx?aid=405&cid=405-12-21094' target='_blank'>405-12-21094</a>","Amarillo Hangar Lease","$107,250","Completed","08/31/2021","Non-Comp, Interagency","Goods","971-26 Rental or Lease","""17560011201026"""
"Department of Public Safety","2008-11-01","RYLB FW PROPERTIES LP C/O STREAM REALTY PARTNERS","405-15-P000710","<a href='https://cms.lbb.texas.gov/Default.aspx?aid=405&cid=405-15-P000710' target='_blank'>405-15-P000710</a>","Building Lease - Fort Worth - 20210","$266,097","Completed","04/30/2016","Competitive","Goods","971-45 Rental or Lease","""14122486658000"""
"Department of Public Safety","2008-11-01","RANDALL COUNTY SHERIFFS OFFICE","HL-01013","<a href='https://cms.lbb.texas.gov/Default.aspx?aid=405&cid=HL-01013' target='_blank'>HL-01013</a>","Hangar Lease","$70,500","Completed","08/31/2020","Non-Comp, Interagency","Goods","971-26 Rental or Lease","""17560011201026"""
"Department of Public Safety","2009-02-01","OMNINET CHASE PARK LLC","405-12-20550","<a href='https://cms.lbb.texas.gov/Default.aspx?aid=405&cid=405-12-20550' target='_blank'>405-12-20550</a>","Building Lease - Austin 20198","$3,978,709","Completed","01/31/2022","Competitive","Goods","971-45 Rental or Lease, 285-95 Goods","""16117085361000"""
"Department of Public Safety","2009-05-01","APPRISS INC","405-12-20217 TXDPSTDEX","<a href='https://cms.lbb.texas.gov/Default.aspx?aid=405&cid=405-12-20217 TXDPSTDEX' target='_blank'>405-12-20217 TXDPSTDEX</a>","TDEX development for local agency MS/JMS sustems","$1,399,297","Completed","09/14/2015","Competitive","Information","920-45 Information Technology","""16113713248001"""
"Department of Public Safety","2009-05-11","CITY OF GARLAND","405-15-P000358","<a href='https://cms.lbb.texas.gov/Default.aspx?aid=405&cid=405-15-P000358' target='_blank'>405-15-P000358</a>","Overtime Reimbursement Services","$183,000","Completed","05/10/2021","Non-Comp, Interagency","Management","962-69 Management Services","""17560005344001"""
"Department of Public Safety","2009-09-01","TEXAS GENERAL LAND OFFICE","405-16-P003515","<a href='https://cms.lbb.texas.gov/Default.aspx?aid=405&cid=405-16-P003515' target='_blank'>405-16-P003515</a>","Gas Consumption GLO","$3,492,000","Active","08/31/2027","Non-Comp, Interagency","Goods","405-13 Goods","""ue-00000002417"""
"Department of Public Safety","2009-12-01","SILLER EXCEL INC","405-12-20557","<a href='https://cms.lbb.texas.gov/Default.aspx?aid=405&cid=405-12-20557' target='_blank'>405-12-20557</a>","Building Lease - Laredo 11262","$840,787","Active","11/30/2029","Competitive","Goods","971-45 Rental or Lease","""17426778845000"""
"Department of Public Safety","2010-03-05","NICUSA INC","405-IT10-0422A","<a href='https://cms.lbb.texas.gov/Default.aspx?aid=405&cid=405-IT10-0422A' target='_blank'>405-IT10-0422A</a>","Payment of Collected subscription fees for PSB","$384,000","Completed","12/31/2010","Competitive","Legal","946-70 Legal/Financial Services, 915-51 Other Services","""14811245365T13"""
"Department of Public Safety","2010-03-08","AAMVA","405-IT10-0147A","<a href='https://cms.lbb.texas.gov/Default.aspx?aid=405&cid=405-IT10-0147A' target='_blank'>405-IT10-0147A</a>","AAMVA Database Subscription-DL Information","$13,000,980","Completed","12/31/2018","Competitive","Other","956-35 Other Services, 920-77 Information Technology","""15301723175011"""
"Department of Public Safety","2010-03-30","AIRCRAFT ELECTRONICS SERVICES INTERNATIONAL INC","405-12-21031","<a href='https://cms.lbb.texas.gov/Default.aspx?aid=405&cid=405-12-21031' target='_blank'>405-12-21031</a>","Hangar Lease - Laredo","$163,754","Completed","03/31/2016","Non-Comp, Non-Emergency","Goods","971-26 Rental or Lease","""12621071823000"""
"Department of Public Safety","2010-07-27","QUADIENT","405-15-P000660","<a href='https://cms.lbb.texas.gov/Default.aspx?aid=405&cid=405-15-P000660' target='_blank'>405-15-P000660</a>","Mailing Equipment - Neopost Lease","$285,380","Completed","07/26/2015","Competitive","Goods","985-54 Rental or Lease","""19423888825009"""
"Department of Public Safety","2010-08-31","XEROX CORPORATION","405-IT-10-0263A","<a href='https://cms.lbb.texas.gov/Default.aspx?aid=405&cid=405-IT-10-0263A' target='_blank'>405-IT-10-0263A</a>","HQ Multi Functional Device","$419,000","Completed","08/31/2010","Competitive","Information","985-26 Information Technology","""11604680204051"""
"Department of Public Safety","2010-09-17","WHR ARCHITECTS INC","405-15-P004626","<a href='https://cms.lbb.texas.gov/Default.aspx?aid=405&cid=405-15-P004626' target='_blank'>405-15-P004626</a>","TFC Contract Architect Services - Lared Crime Lab","$638,213","Completed","12/31/2016","Competitive","Professional","906-7  Professional Services","""14719529233001"""
"Department of Public Safety","2010-10-01","ROJO ENTERTAINMENT LLC","405-12-20520","<a href='https://cms.lbb.texas.gov/Default.aspx?aid=405&cid=405-12-20520' target='_blank'>405-12-20520</a>","Builing Lease for Raymodville 7542","$386,540","Completed","04/30/2023","Competitive","Goods","971-45 Rental or Lease","""12632148321000"""
"Department of Public Safety","2010-10-01","Morpho Trust USA","405-IT10-0785","<a href='https://cms.lbb.texas.gov/Default.aspx?aid=405&cid=405-IT10-0785' target='_blank'>405-IT10-0785</a>","Livescan System Maintenance and Support","$10,110,896","Completed","12/31/2018","Competitive","Information","920-5  Information Technology","""ue-00000000618"""
"Department of Public Safety","2010-10-07","ML BRYANT INTERESTS LLC","405-15-P000179 -12-20144 - 11-","<a href='https://cms.lbb.texas.gov/Default.aspx?aid=405&cid=405-15-P000179 -12-20144 - 11-' target='_blank'>405-15-P000179 -12-20144 - 11-</a>","Investigative Interviewing","$488,208","Completed","10/06/2015","Competitive","Consulting","918-38 Consulting Services","""12620728241000"""
"Department of Public Safety","2010-11-01","CITY OF DEL RIO","405-11-01940","<a href='https://cms.lbb.texas.gov/Default.aspx?aid=405&cid=405-11-01940' target='_blank'>405-11-01940</a>","Hangar Lease","$158,400","Completed","10/31/2020","Non-Comp, Interagency","Goods","971-26 Rental or Lease","""17414839344001"""
"Department of Public Safety","2010-11-18","TEXAS STATE UNIVERSITY","405-11-01058","<a href='https://cms.lbb.texas.gov/Default.aspx?aid=405&cid=405-11-01058' target='_blank'>405-11-01058</a>","Business Intelligence Research","$1,603,494","Completed","08/31/2017","Non-Comp, Interagency","Goods","715-47 Goods","""17460022480035"""
"Department of Public Safety","2011-02-09","GMSL CONSULTING LLC DBA CENTEX SHRED","405-15-P000005","<a href='https://cms.lbb.texas.gov/Default.aspx?aid=405&cid=405-15-P000005' target='_blank'>405-15-P000005</a>","Shredding Services","$240,000","Completed","08/31/2016","Competitive","Goods","962-27 Security/Safety Services","""12714315715000"""
"Department of Public Safety","2011-02-10","TEXAS FACILITIES COMMISSION","405-11-02715","<a href='https://cms.lbb.texas.gov/Default.aspx?aid=405&cid=405-11-02715' target='_blank'>405-11-02715</a>","Interagency Contract Laredo District Office","$6,100,000","Completed","12/31/2016","Non-Comp, Interagency","Management","958-77 Management Services","""33033033037002"""
"Department of Public Safety","2011-03-01","CITY OF SAN ANTONIO","405-11-01261","<a href='https://cms.lbb.texas.gov/Default.aspx?aid=405&cid=405-11-01261' target='_blank'>405-11-01261</a>","Hangar Lease - San Antonio","$123,429","Completed","05/31/2016","Non-Comp, Interagency","Goods","971-26 Rental or Lease","""17460020708055"""
"Department of Public Safety","2011-03-04","INX INC","405-11-06459","<a href='https://cms.lbb.texas.gov/Default.aspx?aid=405&cid=405-11-06459' target='_blank'>405-11-06459</a>","Cisco Equipment Maintenance Services","$5,474,381","Completed","04/01/2016","Competitive","Information","939-21 Information Technology","""17605152449*00"""
"Department of Public Safety","2011-04-01","UTOPIA VILLAGES, LP","405-12-20552","<a href='https://cms.lbb.texas.gov/Default.aspx?aid=405&cid=405-12-20552' target='_blank'>405-12-20552</a>","Building Lease - Austin 20256","$2,633,498","Active","03/31/2028","Competitive","Goods","971-45 Rental or Lease","""ue-00000004193"""
"Department of Public Safety","2011-04-18","FIS PAYMENTS LLC","405-15-P000884","<a href='https://cms.lbb.texas.gov/Default.aspx?aid=405&cid=405-15-P000884' target='_blank'>405-15-P000884</a>","Mailing services","$31,918,792","Completed","04/17/2017","Competitive","Other","915-57 Other Services","""13714903310000"""
"Department of Public Safety","2011-05-24","US DEPARTMENT OF HOMELAND SECURITY","405-11-06599","<a href='https://cms.lbb.texas.gov/Default.aspx?aid=405&cid=405-11-06599' target='_blank'>405-11-06599</a>","SAVE - DHS","$8,330,785","Active","08/31/2026","Non-Comp, Interagency","Information","920-41 Information Technology","""14320001747009"""
"Department of Public Safety","2011-06-01","PINNACLE TOWERS LLC","405-LES-11-01934","<a href='https://cms.lbb.texas.gov/Default.aspx?aid=405&cid=405-LES-11-01934' target='_blank'>405-LES-11-01934</a>","Communications Site Agreement","$44,262","Completed","05/31/2017","Non-Comp, Non-Emergency","Goods","971-35 Rental or Lease","""16505741187001"""
"Department of Public Safety","2011-07-29","XEROX CORPORATION / OMNIFAX DIV","405-11-09170","<a href='https://cms.lbb.texas.gov/Default.aspx?aid=405&cid=405-11-09170' target='_blank'>405-11-09170</a>","Xerox Managed Services","$6,449,441","Completed","07/30/2016","Competitive","Information","985-26 Information Technology","""11604680204*04"""
"Department of Public Safety","2011-08-01","OPTIMUM TECHNOLOGY INC","405-11-08211","<a href='https://cms.lbb.texas.gov/Default.aspx?aid=405&cid=405-11-08211' target='_blank'>405-11-08211</a>","Prescription Data Collection","$2,505,007","Completed","10/31/2019","Competitive","Information","920-64 Information Technology","""13112310811000"""
"Department of Public Safety","2011-08-01","WC 8120 Research","405-15-P000713","<a href='https://cms.lbb.texas.gov/Default.aspx?aid=405&cid=405-15-P000713' target='_blank'>405-15-P000713</a>","TFC Building Lease - Austin 20303","$365,332","Completed","07/31/2020","Competitive","Goods","971-45 Rental or Lease","""ue-00000000830"""
"Department of Public Safety","2011-08-31","TEXAS FACILITIES COMMISSION","405-11-9480","<a href='https://cms.lbb.texas.gov/Default.aspx?aid=405&cid=405-11-9480' target='_blank'>405-11-9480</a>","Terrell DPS Office Drainage System","$95,000","Completed","12/31/2016","Non-Comp, Interagency","Professional","906-25 Professional Services","""33033033037028"""
"Department of Public Safety","2011-10-01","TEXAS A& M UNIVERSITY","405-12-21401","<a href='https://cms.lbb.texas.gov/Default.aspx?aid=405&cid=405-12-21401' target='_blank'>405-12-21401</a>","Emergency Planning Services","$1,064,825","Completed","09/30/2015","Non-Comp, Interagency","Goods","990-29 Security/Safety Services","""17460005311032"""
"Department of Public Safety","2011-10-01","TEXAS COMPTROLLER OF PUBLIC ACCOUNT","405-EMD-11-16-A40662","<a href='https://cms.lbb.texas.gov/Default.aspx?aid=405&cid=405-EMD-11-16-A40662' target='_blank'>405-EMD-11-16-A40662</a>","Furnish Personnel and Procure Equipment and Supply","$888,657","Completed","09/30/2016","Non-Comp, Interagency","Other","963-43 Other Services","""33043043042003"""
"Department of Public Safety","2011-11-01","ATLANTIC AVIATION","405-12-20644","<a href='https://cms.lbb.texas.gov/Default.aspx?aid=405&cid=405-12-20644' target='_blank'>405-12-20644</a>","Hangar Lease - El Paso","$329,157","Completed","10/31/2020","Non-Comp, Non-Emergency","Goods","971-26 Rental or Lease","""ue-00000003999"""
"Department of Public Safety","2011-11-01","GREGG COUNTY","405-12-20645","<a href='https://cms.lbb.texas.gov/Default.aspx?aid=405&cid=405-12-20645' target='_blank'>405-12-20645</a>","Hangar Lease","$126,000","Completed","10/31/2018","Non-Comp, Interagency","Goods","971-26 Rental or Lease","""17560009718012"""
"Department of Public Safety","2011-11-01","FIRST NATIONAL BANK OF HEBBRONVILLE","405-12-24388","<a href='https://cms.lbb.texas.gov/Default.aspx?aid=405&cid=405-12-24388' target='_blank'>405-12-24388</a>","Building Lease - Hebbronville 20275","$450,000","Active","10/31/2026","Competitive","Goods","971-45 Rental or Lease","""14561790032000"""
"Department of Public Safety","2011-12-01","EQUITY COMMERCIAL PROPERTIES LTD","0000000000000000000001687","<a href='https://cms.lbb.texas.gov/Default.aspx?aid=405&cid=0000000000000000000001687' target='_blank'>0000000000000000000001687</a>","Bldg Lease-Hereford 20272","$736,632","Active","05/31/2032","Competitive","Goods","971-45 Rental or Lease","""17525134379001"""
"Department of Public Safety","2011-12-01","HEREFORD SKY CAPITAL LLC","405-12-20553","<a href='https://cms.lbb.texas.gov/Default.aspx?aid=405&cid=405-12-20553' target='_blank'>405-12-20553</a>","Building Lease - Hereford 20272","$735,801","Completed","11/30/2021","Competitive","Goods","971-45 Rental or Lease","""13006827458000"""
"Department of Public Safety","2012-03-01","IBNI INVESTMENTS INC","405-12-24554","<a href='https://cms.lbb.texas.gov/Default.aspx?aid=405&cid=405-12-24554' target='_blank'>405-12-24554</a>","Building Lease - Houston 20264","$1,341,470","Active","02/28/2027","Competitive","Goods","910-14 Construction, 971-45 Rental or Lease","""14626227830000"""
"Department of Public Safety","2012-03-12","AMERICAN SOCIETY OF CRIME LAB DIRECTORS","405-12-22344","<a href='https://cms.lbb.texas.gov/Default.aspx?aid=405&cid=405-12-22344' target='_blank'>405-12-22344</a>","Crime Laboratory Accreditation","$324,045","Completed","08/31/2016","Competitive","Medical","938-62 Medical Services","""19430705780700"""
"Department of Public Safety","2012-04-01","Austin Southbrook, LLC","405-12-24339","<a href='https://cms.lbb.texas.gov/Default.aspx?aid=405&cid=405-12-24339' target='_blank'>405-12-24339</a>","Building Lease - Austin 20284","$4,799,679","Active","03/31/2032","Competitive","Goods","971-45 Rental or Lease","""ue-00000005512"""
"Department of Public Safety","2012-06-01","1734 CENTENNIAL LLC","405-12-25186","<a href='https://cms.lbb.texas.gov/Default.aspx?aid=405&cid=405-12-25186' target='_blank'>405-12-25186</a>","Building Lease - San Antonio 20337","$1,755,000","Completed","11/30/2019","Competitive","Goods","971-45 Rental or Lease","""14528203798000"""
"Department of Public Safety","2012-06-28","QUADIENT","405-12-22449","<a href='https://cms.lbb.texas.gov/Default.aspx?aid=405&cid=405-12-22449' target='_blank'>405-12-22449</a>","Maling Services - Neopost Lease","$195,579","Completed","08/31/2015","Competitive","Other","962-64 Other Services","""19423888825009"""
"Department of Public Safety","2012-07-01","UNIVERSITY OF TEXAS AT AUSTIN","405-13-30901","<a href='https://cms.lbb.texas.gov/Default.aspx?aid=405&cid=405-13-30901' target='_blank'>405-13-30901</a>","Telecommunications Services","$995,229","Completed","12/31/2015","Non-Comp, Interagency","Information","920-66 Information Technology","""17460002037145"""
"Department of Public Safety","2012-08-13","SKYE FLIGHT SERVICES LLC","405-15-P000721","<a href='https://cms.lbb.texas.gov/Default.aspx?aid=405&cid=405-15-P000721' target='_blank'>405-15-P000721</a>","Hangar Lease - Aransas Pass","$100,800","Completed","08/31/2018","Competitive","Goods","971-26 Rental or Lease","""14540000990000"""
"Department of Public Safety","2012-08-14","WORKQUEST","405-13-30031","<a href='https://cms.lbb.texas.gov/Default.aspx?aid=405&cid=405-13-30031' target='_blank'>405-13-30031</a>","Lawn Maintenance for Houston Regional Office","$246,245","Completed","08/31/2018","Non-Comp, Non-Emergency","Goods","910-39 Non-Construction Maintenance","""17419760511001"""
"Department of Public Safety","2012-08-18","TEXAS DISPOSAL SYSTEMS","405-15-P000406","<a href='https://cms.lbb.texas.gov/Default.aspx?aid=405&cid=405-15-P000406' target='_blank'>405-15-P000406</a>","Waste Disposal Services","$180,856","Completed","08/31/2016","Competitive","Goods","910-27 Non-Construction Maintenance","""17515797110001"""
"Department of Public Safety","2012-09-01","Harrier Partners LP","405-12-25808","<a href='https://cms.lbb.texas.gov/Default.aspx?aid=405&cid=405-12-25808' target='_blank'>405-12-25808</a>","Garland Building Lease 20291","$3,004,891","Completed","05/31/2025","Competitive","Goods","971-45 Rental or Lease","""ue-00000000982"""
"Department of Public Safety","2012-09-01","2763 KUYKENDAHL LLC","405-13-30266","<a href='https://cms.lbb.texas.gov/Default.aspx?aid=405&cid=405-13-30266' target='_blank'>405-13-30266</a>","Building Lease - Spring 20296","$8,205,789","Active","08/31/2032","Competitive","Goods","971-45 Rental or Lease","""17607329749000"""
"Department of Public Safety","2012-09-01","ROSENBERG TOWNE CENTER LLC","405-13-30268","<a href='https://cms.lbb.texas.gov/Default.aspx?aid=405&cid=405-13-30268' target='_blank'>405-13-30268</a>","Building Lease - Rosenberg 20297","$3,933,279","Completed","10/31/2023","Competitive","Goods","971-45 Rental or Lease","""18217697046000"""
"Department of Public Safety","2012-09-01","WORKQUEST (formerly TIBH)","405-15-P000058","<a href='https://cms.lbb.texas.gov/Default.aspx?aid=405&cid=405-15-P000058' target='_blank'>405-15-P000058</a>","Janitorial Service for the TXDPS Pflugerville Mega","$280,811","Completed","08/31/2017","Non-Comp, Non-Emergency","Goods","910-39 Non-Construction Maintenance","""17508683939005"""
"Department of Public Safety","2012-09-01","DPS MEGACENTER 2000 LTD","405-15-P000735","<a href='https://cms.lbb.texas.gov/Default.aspx?aid=405&cid=405-15-P000735' target='_blank'>405-15-P000735</a>","Building lease Pflugerville 20288","$7,070,044","Active","08/31/2032","Competitive","Goods","971-45 Rental or Lease","""14537230964000"""
"Department of Public Safety","2012-09-01","QLESS INC","405-DL-12-13-24119","<a href='https://cms.lbb.texas.gov/Default.aspx?aid=405&cid=405-DL-12-13-24119' target='_blank'>405-DL-12-13-24119</a>","DL Queuing and Appointment Scheduling","$1,685,982","Completed","08/31/2019","Competitive","Information","920-45 Information Technology, 208-11 Information Technology, 961-96 Other Services, 920-47 Information Technology, 920-31 Information Technology, 208-32 Information Technology","""12711558853000"""
"Department of Public Safety","2012-09-01","TEXAS A&M ENGINEERING EXTENSION SERVICE","405-EMD-13-13-A31195","<a href='https://cms.lbb.texas.gov/Default.aspx?aid=405&cid=405-EMD-13-13-A31195' target='_blank'>405-EMD-13-13-A31195</a>","Training Web Portal - Hosting of Site","$276,000","Completed","08/31/2016","Non-Comp, Interagency","Information","920-5  Information Technology","""37167167164025"""
"Department of Public Safety","2012-09-25","HARRIS COUNTY","LES201709191130","<a href='https://cms.lbb.texas.gov/Default.aspx?aid=405&cid=LES201709191130' target='_blank'>LES201709191130</a>","Harris County Breath Alcohol MOU","$1,500,000","Active","-","Non-Comp, Interagency","Medical","952-7  Medical Services","""17417154469004"""
"Department of Public Safety","2012-10-19","TEXAS A&M ENGINEERING EXTENSION SERVICE","405-15-P000959","<a href='https://cms.lbb.texas.gov/Default.aspx?aid=405&cid=405-15-P000959' target='_blank'>405-15-P000959</a>","HazMat Training IAC","$3,223,051","Completed","09/30/2016","Non-Comp, Interagency","Management","909-3  Management Services","""17422706261033"""
"Department of Public Safety","2012-10-31","RIO GRANDE VALLEY COMMUNICATIONS GROUP","405-15-P002736","<a href='https://cms.lbb.texas.gov/Default.aspx?aid=405&cid=405-15-P002736' target='_blank'>405-15-P002736</a>","Telecommunications Services","$0","Completed","09/30/2015","Competitive","Information","915-85 Information Technology","""14538553638000"""
"Department of Public Safety","2012-10-31","RIO GRANDE VALLEY COMMUNICATIONS GROUP","405-16-P006564","<a href='https://cms.lbb.texas.gov/Default.aspx?aid=405&cid=405-16-P006564' target='_blank'>405-16-P006564</a>","RGVRRS 2015 Radio Service","$1,358,220","Completed","09/30/2021","Competitive","Information","915-85 Information Technology","""14538553638000"""
"Department of Public Safety","2012-11-01","FINDERS REAL ESTATE LLC","405-12-25850","<a href='https://cms.lbb.texas.gov/Default.aspx?aid=405&cid=405-12-25850' target='_blank'>405-12-25850</a>","Building Lease - Leon Valley 20290","$5,344,000","Active","08/31/2027","Competitive","Goods","971-45 Rental or Lease","""14752035502000"""
"Department of Public Safety","2012-11-09","WASTE MANAGEMENT","405-15-P000775","<a href='https://cms.lbb.texas.gov/Default.aspx?aid=405&cid=405-15-P000775' target='_blank'>405-15-P000775</a>","Incineration on contraband","$240,000","Completed","08/31/2016","Competitive","Other","926-45 Other Services","""17512235288049"""
"Department of Public Safety","2012-11-19","IBM CORPORATION","405-13-30381","<a href='https://cms.lbb.texas.gov/Default.aspx?aid=405&cid=405-13-30381' target='_blank'>405-13-30381</a>","Software Licenses","$147,642","Completed","09/30/2015","Competitive","Information","208-80 Information Technology","""11308719852020"""
"Department of Public Safety","2012-12-01","CASS COUNTY","405-16-P008719","<a href='https://cms.lbb.texas.gov/Default.aspx?aid=405&cid=405-16-P008719' target='_blank'>405-16-P008719</a>","DPS Lease Cass County","$98,000","Completed","11/30/2023","Non-Comp, Interagency","Goods","971-45 Rental or Lease","""17560008504000"""
"Department of Public Safety","2012-12-11","MEC ASSOCIATES OF AUSTIN","405-15-P000012","<a href='https://cms.lbb.texas.gov/Default.aspx?aid=405&cid=405-15-P000012' target='_blank'>405-15-P000012</a>","Professional Services procurement of physical exam","$289,900","Completed","08/31/2015","Competitive","Medical","948-48 Medical Services","""17424481137009"""
